x_i          u_i       Analitic sol  f_i 
0.000100   0.000899    0.000899   99.900060 
0.000200   0.001798    0.001798   99.800220 
0.000300   0.002695    0.002695   99.700479 
0.000400   0.003592    0.003592   99.600839 
0.000500   0.004487    0.004487   99.501298 
0.000600   0.005382    0.005382   99.401856 
0.000700   0.006275    0.006275   99.302514 
0.000800   0.007167    0.007167   99.203271 
0.000900   0.008059    0.008059   99.104127 
0.001000   0.008949    0.008949   99.005082 
0.001100   0.009839    0.009839   98.906137 
0.001200   0.010727    0.010727   98.807290 
0.001300   0.011615    0.011615   98.708542 
0.001400   0.012501    0.012501   98.609892 
0.001500   0.013387    0.013387   98.511342 
0.001600   0.014271    0.014271   98.412889 
0.001700   0.015155    0.015155   98.314536 
0.001800   0.016037    0.016037   98.216280 
0.001900   0.016919    0.016919   98.118123 
0.002000   0.017800    0.017800   98.020063 
0.002100   0.018679    0.018679   97.922102 
0.002200   0.019558    0.019558   97.824239 
0.002300   0.020436    0.020436   97.726473 
0.002400   0.021312    0.021312   97.628805 
0.002500   0.022188    0.022188   97.531235 
0.002600   0.023063    0.023063   97.433762 
0.002700   0.023937    0.023937   97.336387 
0.002800   0.024809    0.024809   97.239109 
0.002900   0.025681    0.025681   97.141928 
0.003000   0.026552    0.026552   97.044844 
0.003100   0.027422    0.027422   96.947858 
0.003200   0.028291    0.028291   96.850968 
0.003300   0.029159    0.029159   96.754175 
0.003400   0.030026    0.030026   96.657479 
0.003500   0.030892    0.030892   96.560880 
0.003600   0.031757    0.031757   96.464377 
0.003700   0.032621    0.032621   96.367970 
0.003800   0.033484    0.033484   96.271660 
0.003900   0.034346    0.034346   96.175446 
0.004000   0.035207    0.035207   96.079328 
0.004100   0.036068    0.036068   95.983306 
0.004200   0.036927    0.036927   95.887381 
0.004300   0.037785    0.037785   95.791551 
0.004400   0.038642    0.038642   95.695817 
0.004500   0.039499    0.039499   95.600178 
0.004600   0.040354    0.040354   95.504635 
0.004700   0.041209    0.041209   95.409188 
0.004800   0.042062    0.042062   95.313836 
0.004900   0.042915    0.042915   95.218579 
0.005000   0.043767    0.043767   95.123418 
0.005099   0.044617    0.044617   95.028352 
0.005199   0.045467    0.045467   94.933380 
0.005299   0.046316    0.046316   94.838504 
0.005399   0.047164    0.047164   94.743722 
0.005499   0.048010    0.048010   94.649035 
0.005599   0.048856    0.048856   94.554443 
0.005699   0.049701    0.049701   94.459945 
0.005799   0.050545    0.050545   94.365542 
0.005899   0.051389    0.051389   94.271233 
0.005999   0.052231    0.052231   94.177018 
0.006099   0.053072    0.053072   94.082898 
0.006199   0.053912    0.053912   93.988871 
0.006299   0.054752    0.054752   93.894939 
0.006399   0.055590    0.055590   93.801100 
0.006499   0.056427    0.056427   93.707355 
0.006599   0.057264    0.057264   93.613704 
0.006699   0.058100    0.058100   93.520147 
0.006799   0.058934    0.058934   93.426683 
0.006899   0.059768    0.059768   93.333312 
0.006999   0.060601    0.060601   93.240035 
0.007099   0.061433    0.061433   93.146850 
0.007199   0.062263    0.062263   93.053759 
0.007299   0.063093    0.063093   92.960762 
0.007399   0.063923    0.063923   92.867857 
0.007499   0.064751    0.064751   92.775044 
0.007599   0.065578    0.065578   92.682325 
0.007699   0.066404    0.066404   92.589698 
0.007799   0.067229    0.067229   92.497164 
0.007899   0.068054    0.068054   92.404722 
0.007999   0.068877    0.068877   92.312373 
0.008099   0.069700    0.069700   92.220116 
0.008199   0.070522    0.070522   92.127951 
0.008299   0.071342    0.071342   92.035879 
0.008399   0.072162    0.072162   91.943898 
0.008499   0.072981    0.072981   91.852009 
0.008599   0.073799    0.073799   91.760212 
0.008699   0.074616    0.074616   91.668507 
0.008799   0.075432    0.075432   91.576893 
0.008899   0.076248    0.076248   91.485371 
0.008999   0.077062    0.077062   91.393941 
0.009099   0.077875    0.077875   91.302602 
0.009199   0.078688    0.078688   91.211354 
0.009299   0.079499    0.079499   91.120197 
0.009399   0.080310    0.080310   91.029132 
0.009499   0.081120    0.081120   90.938157 
0.009599   0.081929    0.081929   90.847274 
0.009699   0.082737    0.082737   90.756481 
0.009799   0.083544    0.083544   90.665779 
0.009899   0.084350    0.084350   90.575167 
0.009999   0.085155    0.085155   90.484647 
0.010099   0.085959    0.085959   90.394216 
0.010199   0.086763    0.086763   90.303876 
0.010299   0.087565    0.087565   90.213626 
0.010399   0.088367    0.088367   90.123467 
0.010499   0.089168    0.089168   90.033398 
0.010599   0.089967    0.089967   89.943418 
0.010699   0.090766    0.090766   89.853529 
0.010799   0.091564    0.091564   89.763729 
0.010899   0.092361    0.092361   89.674019 
0.010999   0.093158    0.093158   89.584399 
0.011099   0.093953    0.093953   89.494868 
0.011199   0.094747    0.094747   89.405427 
0.011299   0.095541    0.095541   89.316075 
0.011399   0.096334    0.096334   89.226813 
0.011499   0.097125    0.097125   89.137639 
0.011599   0.097916    0.097916   89.048555 
0.011699   0.098706    0.098706   88.959560 
0.011799   0.099495    0.099495   88.870654 
0.011899   0.100283    0.100283   88.781836 
0.011999   0.101071    0.101071   88.693108 
0.012099   0.101857    0.101857   88.604468 
0.012199   0.102643    0.102643   88.515917 
0.012299   0.103427    0.103427   88.427454 
0.012399   0.104211    0.104211   88.339079 
0.012499   0.104994    0.104994   88.250793 
0.012599   0.105776    0.105776   88.162595 
0.012699   0.106557    0.106557   88.074486 
0.012799   0.107337    0.107337   87.986464 
0.012899   0.108117    0.108117   87.898530 
0.012999   0.108895    0.108895   87.810685 
0.013099   0.109673    0.109673   87.722926 
0.013199   0.110449    0.110449   87.635256 
0.013299   0.111225    0.111225   87.547673 
0.013399   0.112000    0.112000   87.460178 
0.013499   0.112774    0.112774   87.372771 
0.013599   0.113547    0.113547   87.285450 
0.013699   0.114320    0.114320   87.198217 
0.013799   0.115091    0.115091   87.111071 
0.013899   0.115862    0.115862   87.024012 
0.013999   0.116632    0.116632   86.937041 
0.014099   0.117400    0.117400   86.850156 
0.014199   0.118168    0.118168   86.763358 
0.014299   0.118936    0.118936   86.676646 
0.014399   0.119702    0.119702   86.590022 
0.014499   0.120467    0.120467   86.503483 
0.014599   0.121232    0.121232   86.417032 
0.014699   0.121995    0.121995   86.330667 
0.014799   0.122758    0.122758   86.244388 
0.014899   0.123520    0.123520   86.158195 
0.014999   0.124281    0.124281   86.072089 
0.015098   0.125042    0.125042   85.986068 
0.015198   0.125801    0.125801   85.900134 
0.015298   0.126559    0.126559   85.814285 
0.015398   0.127317    0.127317   85.728522 
0.015498   0.128074    0.128074   85.642845 
0.015598   0.128830    0.128830   85.557254 
0.015698   0.129585    0.129585   85.471748 
0.015798   0.130339    0.130339   85.386327 
0.015898   0.131092    0.131092   85.300992 
0.015998   0.131845    0.131845   85.215742 
0.016098   0.132597    0.132597   85.130578 
0.016198   0.133347    0.133347   85.045498 
0.016298   0.134097    0.134097   84.960504 
0.016398   0.134846    0.134846   84.875594 
0.016498   0.135595    0.135595   84.790769 
0.016598   0.136342    0.136342   84.706029 
0.016698   0.137089    0.137089   84.621374 
0.016798   0.137834    0.137834   84.536804 
0.016898   0.138579    0.138579   84.452317 
0.016998   0.139323    0.139323   84.367916 
0.017098   0.140066    0.140067   84.283598 
0.017198   0.140809    0.140809   84.199365 
0.017298   0.141550    0.141550   84.115217 
0.017398   0.142291    0.142291   84.031152 
0.017498   0.143031    0.143031   83.947171 
0.017598   0.143770    0.143770   83.863274 
0.017698   0.144508    0.144508   83.779461 
0.017798   0.145245    0.145245   83.695732 
0.017898   0.145982    0.145982   83.612086 
0.017998   0.146717    0.146717   83.528524 
0.018098   0.147452    0.147452   83.445046 
0.018198   0.148186    0.148186   83.361651 
0.018298   0.148919    0.148919   83.278339 
0.018398   0.149652    0.149652   83.195111 
0.018498   0.150383    0.150383   83.111966 
0.018598   0.151114    0.151114   83.028904 
0.018698   0.151843    0.151843   82.945925 
0.018798   0.152572    0.152572   82.863028 
0.018898   0.153301    0.153301   82.780215 
0.018998   0.154028    0.154028   82.697484 
0.019098   0.154754    0.154754   82.614837 
0.019198   0.155480    0.155480   82.532271 
0.019298   0.156205    0.156205   82.449789 
0.019398   0.156929    0.156929   82.367388 
0.019498   0.157652    0.157652   82.285070 
0.019598   0.158374    0.158375   82.202834 
0.019698   0.159096    0.159096   82.120681 
0.019798   0.159817    0.159817   82.038609 
0.019898   0.160537    0.160537   81.956620 
